Framework_ID,Framework,chunks_evaluated,crypto_assets_llm,crypto_assets_expert,crypto_assets_delta,crypto_agility_llm,crypto_agility_expert,crypto_agility_delta,migration_planning_llm,migration_planning_expert,migration_planning_delta,risk_management_llm,risk_management_expert,risk_management_delta,standards_compliance_llm,standards_compliance_expert,standards_compliance_delta,mean_delta,raw_response
001,ANSSI views on the Post-Quantum Cryptography transition.pdf,2,0,1,1,3,4,1,3,3,0,2,2,0,4,5,1,0.6,"[Aggregated from 2/2 chunks using max]  {""crypto_assets"": 0, ""crypto_agility"": 3, ""migration_planning"": 3, ""risk_management"": 2, ""standards_compliance"": 4} |  {""crypto_assets"": 0, ""crypto_agility"": 3, ""migration_planning"": 3, ""risk_management"": 2, ""standards_compliance"": 3} JSON: {""crypto_assets"": 0, ""crypto_agility"": 3, ""migration_planning"": 3, ""risk_management"": 2, ""standards_compliance"": 3}"
002,ASC-X9F-IR-01-2025-Post-Quantum-Cryptography-Financial-Readiness-Needs-Assessment-Informative-Report-Final-1.pdf,2,3,3,0,2,2,0,2,3,1,3,4,1,3,4,1,0.6,"[Aggregated from 2/2 chunks using max]  {""crypto_assets"": 3, ""crypto_agility"": 2, ""migration_planning"": 2, ""risk_management"": 3, ""standards_compliance"": 3} |  {""crypto_assets"": 0, ""crypto_agility"": 0, ""migration_planning"": 1, ""risk_management"": 1, ""standards_compliance"": 2} JSON: {""crypto_assets"": 0, ""crypto_agility"": 0, ""migration_planning"": 1, ""risk_management"": 1, ""standards_compliance"": 2}"
003,CSA_CNSA_2.0_ALGORITHMS.pdf,1,2,2,0,3,3,0,4,5,1,2,4,2,4,5,1,0.8,"[Aggregated from 1/1 chunks using max]  {""crypto_assets"": 2, ""crypto_agility"": 3, ""migration_planning"": 4, ""risk_management"": 2, ""standards_compliance"": 4} JSON: {""crypto_assets"": 2, ""crypto_agility"": 3, ""migration_planning"": 4, ""risk_management"": 2, ""standards_compliance"": 4}"
004,CSI_CNSA_2.0_FAQ_.pdf,2,1,1,0,2,2,0,3,4,1,3,3,0,4,5,1,0.4,"[Aggregated from 2/2 chunks using max]  {""crypto_assets"": 1, ""crypto_agility"": 2, ""migration_planning"": 3, ""risk_management"": 3, ""standards_compliance"": 4} JSON: {""crypto_assets"": 1, ""crypto_agility"": 2, ""migration_planning"": 3, ""risk_management"": 3, ""standards_compliance"": 4} |  {""crypto_assets"": 0, ""crypto_agility"": 2, ""migration_planning"": 0, ""risk_management"": 0, ""standards_compliance"": 4} JSON: {""crypto_assets"": 0, ""crypto_agility"": 2, ""migration_planning"": 0, ""risk_management"": 0, ""standar"
005,ENISA Report - Post-Quantum Cryptography Current state and quantum mitigation-V2.pdf,1,1,2,1,1,3,2,1,2,1,2,2,0,3,4,1,1.0,"[Aggregated from 1/1 chunks using max]  {""crypto_assets"": 1, ""crypto_agility"": 1, ""migration_planning"": 1, ""risk_management"": 2, ""standards_compliance"": 3}"
006,EN_Position.pdf,2,0,1,1,3,2,1,4,2,2,3,2,1,3,3,0,1.0,"[Aggregated from 2/2 chunks using max]  {""crypto_assets"": 0, ""crypto_agility"": 3, ""migration_planning"": 3, ""risk_management"": 3, ""standards_compliance"": 2} JSON: {""crypto_assets"": 0, ""crypto_agility"": 3, ""migration_planning"": 3, ""risk_management"": 3, ""standards_compliance"": 2} |  {""crypto_assets"": 0, ""crypto_agility"": 3, ""migration_planning"": 4, ""risk_management"": 2, ""standards_compliance"": 3} JSON: {""crypto_assets"": 0, ""crypto_agility"": 3, ""migration_planning"": 4, ""risk_management"": 2, ""standar"
007,IBM_Quantum_Safe_Roadmap.pdf,1,4,4,0,4,4,0,3,4,1,3,3,0,4,3,1,0.4,"[Aggregated from 1/1 chunks using max]  {""crypto_assets"": 4, ""crypto_agility"": 4, ""migration_planning"": 3, ""risk_management"": 3, ""standards_compliance"": 4} JSON: {""crypto_assets"": 4, ""crypto_agility"": 4, ""migration_planning"": 3, ""risk_management"": 3, ""standards_compliance"": 4}"
008,MIGRATION TO POST-QUANTUM CRYPTOGRAPHY.pdf,2,4,5,1,3,2,1,4,4,0,3,4,1,3,4,1,0.8,"[Aggregated from 2/2 chunks using max]  {""crypto_assets"": 4, ""crypto_agility"": 3, ""migration_planning"": 3, ""risk_management"": 3, ""standards_compliance"": 2} |  {""crypto_assets"": 4, ""crypto_agility"": 3, ""migration_planning"": 4, ""risk_management"": 3, ""standards_compliance"": 3} JSON: {""crypto_assets"": 4, ""crypto_agility"": 3, ""migration_planning"": 4, ""risk_management"": 3, ""standards_compliance"": 3}"
009,POST-QUANTUM CRYPTOGRAPHY READINESS IN U.S. COMMUNITY BANKS AND FINANCIAL SMES: A CYBERSECURITY RISK ASSESSMENT FRAMEWORK.pdf,2,3,3,0,2,2,0,3,2,1,4,5,1,3,3,0,0.4,"[Aggregated from 2/2 chunks using max]  {""crypto_assets"": 3, ""crypto_agility"": 2, ""migration_planning"": 3, ""risk_management"": 4, ""standards_compliance"": 3} JSON: {""crypto_assets"": 3, ""crypto_agility"": 2, ""migration_planning"": 3, ""risk_management"": 4, ""standards_compliance"": 3} |  {""crypto_assets"": 2, ""crypto_agility"": 1, ""migration_planning"": 1, ""risk_management"": 3, ""standards_compliance"": 1}"
010,PQ.1-Post-Quantum-Telco-Network-Impact-Assessment-Whitepaper-Version1.0.pdf,2,3,3,0,3,3,0,4,3,1,3,3,0,3,3,0,0.2,"[Aggregated from 2/2 chunks using max]  {""crypto_assets"": 3, ""crypto_agility"": 3, ""migration_planning"": 3, ""risk_management"": 3, ""standards_compliance"": 3} JSON: {""crypto_assets"": 3, ""crypto_agility"": 3, ""migration_planning"": 3, ""risk_management"": 3, ""standards_compliance"": 3} |  {""crypto_assets"": 3, ""crypto_agility"": 3, ""migration_planning"": 4, ""risk_management"": 3, ""standards_compliance"": 3} JSON: {""crypto_assets"": 3, ""crypto_agility"": 3, ""migration_planning"": 4, ""risk_management"": 3, ""standar"
